thematique_num,thematique_nom,critere_num,critere_id,titre,nb_tests,classification_proposee,wcag_refs
1,Images,1,1.1,Chaque image porteuse d’information a-t-elle une alternative textuelle ?,8,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A)
1,Images,2,1.2,Chaque image de décoration est-elle correctement ignorée par les technologies d’assistance ?,6,DETERMINISTE (à confirmer),"1.1.1 Non-text Content (A) | 4.1.2 Name, Role, Value (A)"
1,Images,3,1.3,"Pour chaque image porteuse d’information ayant une alternative textuelle, cette alternative est-elle pertinente (hors cas particuliers) ?",9,IA_ASSISTE (à confirmer),"1.1.1 Non-text Content (A) | 4.1.2 Name, Role, Value (A)"
1,Images,4,1.4,"Pour chaque image utilisée comme CAPTCHA ou comme image-test, ayant une alternative textuelle, cette alternative permet-elle d’identifier la nature et la fonction de l’image ?",7,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A)
1,Images,5,1.5,"Pour chaque image utilisée comme CAPTCHA, une solution d’accès alternatif au contenu ou à la fonction du CAPTCHA est-elle présente ?",2,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A)
1,Images,6,1.6,"Chaque image porteuse d’information a-t-elle, si nécessaire, une description détaillée ?",10,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A)
1,Images,7,1.7,"Pour chaque image porteuse d’information ayant une description détaillée, cette description est-elle pertinente ?",6,IA_ASSISTE (à confirmer),1.1.1 Non-text Content (A)
1,Images,8,1.8,"Chaque image texte porteuse d’information, en l’absence d’un mécanisme de remplacement, doit si possible être remplacée par du texte stylé. Cette règle est-elle respectée (hors cas particuliers) ?",6,DETERMINISTE (à confirmer),1.4.5 Images of Text (AA)
1,Images,9,1.9,"Chaque légende d’image est-elle, si nécessaire, correctement reliée à l’image correspondante ?",5,DETERMINISTE (à confirmer),"1.1.1 Non-text Content (A) | 4.1.2 Name, Role, Value (A)"
2,Cadres,1,2.1,Chaque cadre a-t-il un titre de cadre ?,1,DETERMINISTE (à confirmer),"4.1.2 Name, Role, Value (A)"
2,Cadres,2,2.2,"Pour chaque cadre ayant un titre de cadre, ce titre de cadre est-il pertinent ?",1,IA_ASSISTE (à confirmer),"4.1.2 Name, Role, Value (A)"
3,Couleurs,1,3.1,"Dans chaque page web, l’information ne doit pas être donnée uniquement par la couleur. Cette règle est-elle respectée ?",6,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A) | 1.4.1 Use of color (A)
3,Couleurs,2,3.2,"Dans chaque page web, le contraste entre la couleur du texte et la couleur de son arrière-plan est-il suffisamment élevé (hors cas particuliers) ?",5,DETERMINISTE (à confirmer),1.4.3 Contrast (Minimum) (AA)
